,visit_day,restaurant,shift_category,max_guests TW,capacity,full TW,max_guests LW,full LW,max_guests vs LW,max_guests vs LW %
49,2020-12-08,Plateau,DINNER,21.0,82.0,0.25609756097560976,9.0,0.10975609756097561,12.0,1.3333333333333335
50,2020-12-08,Pont de la Tour,LUNCH,45.0,54.0,0.8333333333333334,0.0,0.0,45.0,1.0
51,2020-12-08,Pont de la Tour,DINNER,76.0,54.0,1.4074074074074074,49.0,0.9074074074074074,27.0,0.5510204081632653
52,2020-12-08,Quaglino’s Restaurant,LUNCH,0.0,190.0,0.0,0.0,0.0,0.0,0.0
53,2020-12-08,Quaglino’s Restaurant,DINNER,85.0,190.0,0.4473684210526316,61.0,0.32105263157894737,24.0,0.39344262295081966
54,2020-12-08,Radici,LUNCH,2.0,66.0,0.030303030303030304,0.0,0.0,2.0,1.0
55,2020-12-08,Radici,DINNER,41.0,66.0,0.6212121212121212,2.0,0.030303030303030304,39.0,19.5
56,2020-12-08,Sartoria,LUNCH,22.0,90.0,0.24444444444444444,0.0,0.0,22.0,1.0
57,2020-12-08,Sartoria,DINNER,11.0,90.0,0.12222222222222222,8.0,0.08888888888888889,3.0,0.375
58,2020-12-08,Skylon Restaurant,LUNCH,0.0,126.0,0.0,0.0,0.0,0.0,0.0
59,2020-12-08,Skylon Restaurant,DINNER,0.0,126.0,0.0,0.0,0.0,0.0,0.0
60,2020-12-08,South Place Chop House,LUNCH,18.0,56.0,0.32142857142857145,0.0,0.0,18.0,1.0
61,2020-12-08,South Place Chop House,DINNER,7.0,56.0,0.125,13.0,0.23214285714285715,-6.0,-0.46153846153846156
62,2020-12-08,The Modern Pantry,LUNCH,7.0,75.0,0.09333333333333334,0.0,0.0,7.0,1.0
63,2020-12-08,The Modern Pantry,DINNER,0.0,75.0,0.0,6.0,0.08,-6.0,-1.0
64,2020-12-09,100 Wardour St,LUNCH,18.0,242.0,0.0743801652892562,0.0,0.0,18.0,1.0
