,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
1135,South Place Chop House,Two Weeks,Wednesday,6.0,6.0,152.0,0.0,0.16666666666666666,-146.0,-0.9605263157894737
1449,South Place Chop House,Two Weeks,Thursday,0.0,10.0,27.0,-10.0,-1.0,-27.0,-1.0
1130,South Place Chop House,Two Weeks,Friday,22.0,3.0,4.0,19.0,6.333333333333333,18.0,4.5
1132,South Place Chop House,Two Weeks,Saturday,8.0,15.0,6.0,-7.0,-0.4666666666666667,2.0,0.3333333333333333
1133,South Place Chop House,Two Weeks,Sunday,4.0,17.0,10.0,-13.0,-0.7647058823529411,-6.0,-0.6
266,South Place Chop House,Two Weeks,Full Week,46.0,59.0,237.0,-13.0,-0.22033898305084745,-191.0,-0.8059071729957806
1445,South Place Chop House,Three Weeks,Monday,0.0,4.0,3.0,-4.0,-1.0,-3.0,-1.0
2066,South Place Chop House,Three Weeks,Tuesday,0.0,0.0,14.0,0.0,1.0,-14.0,-1.0
1448,South Place Chop House,Three Weeks,Wednesday,0.0,6.0,2.0,-6.0,-1.0,-2.0,-1.0
1129,South Place Chop House,Three Weeks,Thursday,9.0,0.0,2.0,9.0,9.0,7.0,3.5
1128,South Place Chop House,Three Weeks,Friday,5.0,15.0,0.0,-10.0,-0.6666666666666666,5.0,5.0
1446,South Place Chop House,Three Weeks,Saturday,0.0,6.0,16.0,-6.0,-1.0,-16.0,-1.0
1447,South Place Chop House,Three Weeks,Sunday,0.0,4.0,0.0,-4.0,-1.0,0.0,1.0
265,South Place Chop House,Three Weeks,Full Week,14.0,35.0,37.0,-21.0,-0.6,-23.0,-0.6216216216216216
2057,South Place Chop House,Four Weeks,Monday,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
2060,South Place Chop House,Four Weeks,Tuesday,0.0,0.0,8.0,0.0,1.0,-8.0,-1.0
2061,South Place Chop House,Four Weeks,Wednesday,0.0,0.0,17.0,0.0,1.0,-17.0,-1.0
1440,South Place Chop House,Four Weeks,Thursday,0.0,2.0,19.0,-2.0,-1.0,-19.0,-1.0
1439,South Place Chop House,Four Weeks,Friday,0.0,5.0,9.0,-5.0,-1.0,-9.0,-1.0
2058,South Place Chop House,Four Weeks,Saturday,0.0,0.0,20.0,0.0,1.0,-20.0,-1.0
2059,South Place Chop House,Four Weeks,Sunday,0.0,0.0,5.0,0.0,1.0,-5.0,-1.0
260,South Place Chop House,Four Weeks,Full Week,0.0,7.0,82.0,-7.0,-1.0,-82.0,-1.0
2054,South Place Chop House,Five Weeks,Monday,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
2056,South Place Chop House,Five Weeks,Tuesday,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
1113,South Place Chop House,Five Weeks,Wednesday,2.0,0.0,28.0,2.0,2.0,-26.0,-0.9285714285714286
1112,South Place Chop House,Five Weeks,Thursday,5.0,0.0,18.0,5.0,5.0,-13.0,-0.7222222222222222
2053,South Place Chop House,Five Weeks,Friday,0.0,0.0,7.0,0.0,1.0,-7.0,-1.0
1111,South Place Chop House,Five Weeks,Saturday,16.0,0.0,4.0,16.0,16.0,12.0,3.0
2055,South Place Chop House,Five Weeks,Sunday,0.0,0.0,24.0,0.0,1.0,-24.0,-1.0
259,South Place Chop House,Five Weeks,Full Week,23.0,0.0,91.0,23.0,23.0,-68.0,-0.7472527472527473
2065,South Place Chop House,Six Weeks,Tuesday,0.0,0.0,10.0,0.0,1.0,-10.0,-1.0
1444,South Place Chop House,Six Weeks,Wednesday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
